GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;;;;;;;;;
Libro Auxiliar entre el 01/01/2026 y el 31/03/2026;;;;;;;;;
Elaborado Bajo Normas Locales;;;;;;;;;
Inventario;Cuenta;Tercero;Fecha;Nota;Cheque;Doc Num;Débitos;Créditos;Saldo
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  APOYAPIES ARTICULAR K01;;(GCG) dp 97;0,00;6.662,00;-366.410,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  APOYAPIES ARTICULAR K01;;(GCG) dp 98;0,00;6.662,00;-373.072,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;373.072,00;-373.072,00
Total APOYAPIES ARTICULAR K01 ACTIF-042 APOYAPIES;;;;;;;888.312,00;373.072,00;515.240,00
APPLE PENCIL PRO-AME ACTIF-127;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;799.000,00;0,00;799.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;799.000,00;0,00;799.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;191.760,00;-191.760,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  APPLE PENCIL PRO-AME;;(GCG) dp 96;0,00;11.985,00;-203.745,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  APPLE PENCIL PRO-AME;;(GCG) dp 97;0,00;11.985,00;-215.730,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  APPLE PENCIL PRO-AME;;(GCG) dp 98;0,00;11.985,00;-227.715,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;227.715,00;-227.715,00
Total APPLE PENCIL PRO-AME ACTIF-127;;;;;;;799.000,00;227.715,00;571.285,00
ARCHIVADOR ACTIF-028;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;350.000,00;0,00;350.000,00
;Total 152405 MUEBLES Y ENSERES;;;;;;350.000,00;0,00;350.000,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;315.000,00;-315.000,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;315.000,00;-315.000,00
Total ARCHIVADOR ACTIF-028;;;;;;;350.000,00;315.000,00;35.000,00
ARCHIVADOR ACTIF-042 ARCHIVADOR;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;330.000,00;0,00;330.000,00
;Total 152405 MUEBLES Y ENSERES;;;;;;330.000,00;0,00;330.000,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;297.000,00;-297.000,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;297.000,00;-297.000,00
Total ARCHIVADOR ACTIF-042 ARCHIVADOR;;;;;;;330.000,00;297.000,00;33.000,00
